[?1034husig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-1.81537263426 1.35977520437 63.1401212677 104.878877167 104.878877167 7772.79411765 52.7366582984 394.852854043
-0.907011087039 1.22344093694 5.05435069974 7.64560143166 7.64560143166 5051.2745098 32.5571334848 116.146055957
-3.06305376031 1.43985872671 -1.0 -1.0 -1.0 5796.0591133 44.4499769952 191.972312139
-2.65197704797 1.42695552356 -1.0 -1.0 -1.0 5817.68809473 51.9417563593 1911.4020879
-2.65197704797 1.42695552356 -1.0 -1.0 -1.0 5817.68809473 53.1633799047 1911.4020879
-3.10710357505 1.16534402895 -1.0 -1.0 -1.0 6232.0060208 57.0935850615 1016.06943651
-2.96891173133 1.10383669227 -1.0 -1.0 -1.0 5693.75 55.1412203683 506.21191
-2.66543440204 1.07586203227 -1.0 -1.0 -1.0 9885.41666667 70.6532900323 291.21935325
-0.914855693007 0.891675815683 5.69896616339 8.28513433186 8.28513433186 17324.0196078 61.2000799502 142.251880122
-1.79488185975 1.18531066622 40.6534228773 73.3149016314 73.3149016314 6864.97524752 52.0713850698 332.629804472
-2.87239065594 0.927851473329 -1.0 -1.0 -1.0 14818.5960591 44.5962632484 491.600868211
-2.36596779789 1.17816633323 158.58546926 282.778358588 282.778358588 6012.29866947 55.4722726159 514.618270117
-0.965035358595 1.3429922992 10.6246101995 18.589871475 18.589871475 12440.1960784 52.7047319013 459.499338196
-2.94393981025 0.851036307807 324.263627962 469.109378369 469.109378369 5828.08823529 55.6126446094 1144.0131735
-2.94393981025 0.851036307807 324.263627962 469.109378369 469.109378369 5828.08823529 56.9540895642 1144.0131735
-2.00085246218 1.63139043913 103.110496046 191.961130734 191.961130734 5489.07271242 58.1013691948 468.657873112
-1.84964087934 0.550427747058 19.7900936507 38.8030220511 38.8030220511 10380.0245098 55.8714015321 302.779729177
-3.06097072374 1.01102870335 -1.0 -1.0 -1.0 10762.6237624 20.2374173241 0.0
